code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17,r17han,p16the,p16han,p16kuk,p16jung,p16valid,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung
11010,35619,20043,19435,6173,5739,87460,0.407260462,0.229167619,0.22221587,0.070580837,0.065618568,0.407260462,1,0.178092842,0.229167619,2,0.22221587,3,0.070580837,4,0.065618568,5,0.299748456,21413,25103,19597,6713,78519,0.292513399,0.342920836,0.267705837,0.091703285,0.114747063,-0.043172379,-0.045489967,-0.026084717
11020,28521,16107,17042,5022,4117,71144,0.40089115,0.226399978,0.239542337,0.070589227,0.057868548,0.40089115,1,0.161348814,0.239542337,3,0.226399978,2,0.070589227,4,0.057868548,5,0.296989205,12168,19293,19641,4204,59606,0.21897631,0.347198385,0.353461021,0.075655523,0.18191484,-0.05020918,-0.113918685,-0.017786975
11030,48639,31508,27910,10134,7985,126692,0.383915322,0.248697629,0.220298046,0.079989265,0.063026868,0.383915322,1,0.135217693,0.248697629,2,0.220298046,3,0.079989265,4,0.063026868,5,0.328686894,24463,36889,28291,8986,106800,0.247020302,0.372494458,0.28567434,0.09073803,0.13689502,-0.043807564,-0.065376294,-0.027711162
11040,74166,36797,40268,13691,10771,176361,0.420535152,0.208645902,0.228327124,0.077630542,0.061073593,0.420535152,1,0.192208028,0.228327124,3,0.208645902,2,0.077630542,4,0.061073593,5,0.286276444,36385,43214,39730,11104,139954,0.277898883,0.330056956,0.303447097,0.084809378,0.142636269,-0.043780512,-0.075119973,-0.023735784
11050,90288,42189,46738,14895,13881,208717,0.43258575,0.202134948,0.22393001,0.071364575,0.066506322,0.43258575,1,0.20865574,0.22393001,3,0.202134948,2,0.071364575,4,0.066506322,5,0.273499523,43929,49608,48750,13371,167944,0.281233201,0.317590126,0.312097215,0.085601064,0.151352549,-0.044090603,-0.088167204,-0.019094742
11060,84273,47557,47388,12908,12430,205481,0.41012551,0.231442323,0.230619863,0.06281846,0.060492211,0.41012551,1,0.178683187,0.231442323,2,0.230619863,3,0.06281846,4,0.060492211,5,0.294260783,43811,53757,45877,12705,168791,0.279306942,0.342715374,0.292478249,0.080997802,0.130818569,-0.048454591,-0.061858386,-0.020505591
11070,96603,51961,56252,13954,14397,234166,0.412540676,0.221898141,0.240222748,0.059590205,0.061482026,0.412540676,1,0.172317928,0.240222748,3,0.221898141,2,0.061482026,5,0.059590205,4,0.281488346,50359,56997,50886,11532,185218,0.295358289,0.334290522,0.298449173,0.067635811,0.117182387,-0.052802177,-0.058226425,-0.006153785
11080,110308,52470,58881,16980,16938,256599,0.429884762,0.20448248,0.229466989,0.06617329,0.06600961,0.429884762,1,0.200417772,0.229466989,3,0.20448248,2,0.06617329,4,0.06600961,5,0.27065577,54525,60596,60269,18268,210120,0.280431658,0.311655878,0.30997406,0.093955535,0.149453103,-0.041000108,-0.080507071,-0.027945925
11090,77712,38778,46334,10346,11464,185481,0.418975528,0.209067236,0.249804562,0.055779298,0.06180687,0.418975528,1,0.169170966,0.249804562,3,0.209067236,2,0.06180687,5,0.055779298,4,0.264846534,37717,45169,41617,9897,146411,0.279350931,0.334544163,0.308236278,0.073302123,0.139624598,-0.069697629,-0.058431716,-0.011495253
11100,82392,43710,49778,12688,12695,202116,0.407647094,0.216261949,0.246284312,0.062775832,0.062810465,0.407647094,1,0.161362782,0.246284312,3,0.216261949,2,0.062810465,5,0.062775832,4,0.27903778,40140,51892,46695,11635,162287,0.2658291,0.343657292,0.309239906,0.077053353,0.141817993,-0.064619511,-0.062955594,-0.014242888
11110,136762,61535,85859,21624,20811,327873,0.417118823,0.187679376,0.261866637,0.065952366,0.063472747,0.417118823,1,0.155252186,0.261866637,3,0.187679376,2,0.065952366,4,0.063472747,5,0.253631742,64596,77269,91860,22471,276590,0.251149223,0.300421842,0.357151645,0.087367239,0.1659696,-0.046790101,-0.095285007,-0.023894492
11120,120445,54979,64531,16842,18504,276865,0.435031514,0.198576924,0.233077493,0.060831091,0.066834017,0.435031514,1,0.201954021,0.233077493,3,0.198576924,2,0.066834017,5,0.060831091,4,0.259408015,56563,58886,61532,20933,218612,0.284181401,0.295852518,0.309146438,0.105170682,0.150850113,-0.036444503,-0.076068945,-0.038336665
11130,78913,36489,40414,12433,12289,181266,0.435343639,0.201300851,0.222954112,0.068589807,0.067795395,0.435343639,1,0.212389527,0.222954112,3,0.201300851,2,0.068589807,4,0.067795395,5,0.269890658,41233,45058,38435,13850,151892,0.296352905,0.323844231,0.27624291,0.099543757,0.138990734,-0.053953573,-0.053288798,-0.031748362
11140,99926,41914,46090,16331,16604,221678,0.450770938,0.189076047,0.207914182,0.073669918,0.074901434,0.450770938,1,0.242856756,0.207914182,3,0.189076047,2,0.074901434,5,0.073669918,4,0.262745965,50964,52069,49330,21010,189245,0.292877729,0.299227895,0.283487528,0.120739367,0.157893209,-0.03648193,-0.075573346,-0.045837933
11150,115558,55415,63561,20055,16357,271939,0.424940887,0.203777318,0.233732565,0.073748157,0.060149519,0.424940887,1,0.191208322,0.233732565,3,0.203777318,2,0.073748157,4,0.060149519,5,0.277525474,57060,65251,64668,18036,222135,0.277304794,0.317112077,0.314278766,0.087652809,0.147636094,-0.039586602,-0.080546201,-0.02750329
11160,151889,69916,78321,23927,21964,347416,0.437196329,0.201245769,0.225438667,0.068871324,0.063221038,0.437196329,1,0.211757662,0.225438667,3,0.201245769,2,0.068871324,4,0.063221038,5,0.270117093,71884,80469,76680,22777,274388,0.284319655,0.318275531,0.303289065,0.090088876,0.152876675,-0.048158438,-0.077850398,-0.026867839
11170,104472,54399,54955,14818,14744,244339,0.427569893,0.222637401,0.224912928,0.060645251,0.060342393,0.427569893,1,0.202656964,0.224912928,3,0.222637401,2,0.060645251,4,0.060342393,5,0.283282652,56114,59144,53873,17286,204261,0.299841736,0.316032356,0.287867089,0.092366686,0.127728157,-0.032749703,-0.06295416,-0.032024293
11180,57910,28616,32762,7596,8243,135718,0.426693585,0.210848966,0.241397604,0.055968995,0.060736232,0.426693585,1,0.185295981,0.241397604,3,0.210848966,2,0.060736232,5,0.055968995,4,0.266817961,27214,30666,31561,7131,106151,0.280572976,0.316162669,0.325390009,0.073519729,0.146120609,-0.049344708,-0.083992405,-0.012783496
11190,89975,48825,47404,15506,12699,215283,0.417938249,0.226794498,0.220193884,0.072026124,0.058987472,0.417938249,1,0.19114375,0.226794498,2,0.220193884,3,0.072026124,4,0.058987472,5,0.298820622,45789,57649,51125,16314,183766,0.266876801,0.336001675,0.297977166,0.095084586,0.151061448,-0.037181053,-0.077783281,-0.036097114
11200,102431,48954,52642,17449,14481,236792,0.432577959,0.206738403,0.222313254,0.073689145,0.061154938,0.432577959,1,0.210264705,0.222313254,3,0.206738403,2,0.073689145,4,0.061154938,5,0.280427548,47341,58341,59258,18245,198208,0.25752142,0.317358256,0.322346472,0.099247551,0.175056539,-0.036930707,-0.100033218,-0.038092613
