code,p17the,p17hong,p17kuk,p17yoo,p17jung,p17valid,r17the,r17hong,r17kuk,r17yoo,r17jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
11010,35619,20043,19435,6173,5739,87460,0.407260462,0.229167619,0.22221587,0.070580837,0.065618568,0.407260462,1,0.178092842,0.229167619,2,0.22221587,3,0.070580837,4,0.065618568,5
11020,28521,16107,17042,5022,4117,71144,0.40089115,0.226399978,0.239542337,0.070589227,0.057868548,0.40089115,1,0.161348814,0.239542337,3,0.226399978,2,0.070589227,4,0.057868548,5
11030,48639,31508,27910,10134,7985,126692,0.383915322,0.248697629,0.220298046,0.079989265,0.063026868,0.383915322,1,0.135217693,0.248697629,2,0.220298046,3,0.079989265,4,0.063026868,5
11040,74166,36797,40268,13691,10771,176361,0.420535152,0.208645902,0.228327124,0.077630542,0.061073593,0.420535152,1,0.192208028,0.228327124,3,0.208645902,2,0.077630542,4,0.061073593,5
11050,90288,42189,46738,14895,13881,208717,0.43258575,0.202134948,0.22393001,0.071364575,0.066506322,0.43258575,1,0.20865574,0.22393001,3,0.202134948,2,0.071364575,4,0.066506322,5
11060,84273,47557,47388,12908,12430,205481,0.41012551,0.231442323,0.230619863,0.06281846,0.060492211,0.41012551,1,0.178683187,0.231442323,2,0.230619863,3,0.06281846,4,0.060492211,5
11070,96603,51961,56252,13954,14397,234166,0.412540676,0.221898141,0.240222748,0.059590205,0.061482026,0.412540676,1,0.172317928,0.240222748,3,0.221898141,2,0.061482026,5,0.059590205,4
11080,110308,52470,58881,16980,16938,256599,0.429884762,0.20448248,0.229466989,0.06617329,0.06600961,0.429884762,1,0.200417772,0.229466989,3,0.20448248,2,0.06617329,4,0.06600961,5
11090,77712,38778,46334,10346,11464,185481,0.418975528,0.209067236,0.249804562,0.055779298,0.06180687,0.418975528,1,0.169170966,0.249804562,3,0.209067236,2,0.06180687,5,0.055779298,4
11100,82392,43710,49778,12688,12695,202116,0.407647094,0.216261949,0.246284312,0.062775832,0.062810465,0.407647094,1,0.161362782,0.246284312,3,0.216261949,2,0.062810465,5,0.062775832,4
11110,136762,61535,85859,21624,20811,327873,0.417118823,0.187679376,0.261866637,0.065952366,0.063472747,0.417118823,1,0.155252186,0.261866637,3,0.187679376,2,0.065952366,4,0.063472747,5
11120,120445,54979,64531,16842,18504,276865,0.435031514,0.198576924,0.233077493,0.060831091,0.066834017,0.435031514,1,0.201954021,0.233077493,3,0.198576924,2,0.066834017,5,0.060831091,4
11130,78913,36489,40414,12433,12289,181266,0.435343639,0.201300851,0.222954112,0.068589807,0.067795395,0.435343639,1,0.212389527,0.222954112,3,0.201300851,2,0.068589807,4,0.067795395,5
11140,99926,41914,46090,16331,16604,221678,0.450770938,0.189076047,0.207914182,0.073669918,0.074901434,0.450770938,1,0.242856756,0.207914182,3,0.189076047,2,0.074901434,5,0.073669918,4
11150,115558,55415,63561,20055,16357,271939,0.424940887,0.203777318,0.233732565,0.073748157,0.060149519,0.424940887,1,0.191208322,0.233732565,3,0.203777318,2,0.073748157,4,0.060149519,5
11160,151889,69916,78321,23927,21964,347416,0.437196329,0.201245769,0.225438667,0.068871324,0.063221038,0.437196329,1,0.211757662,0.225438667,3,0.201245769,2,0.068871324,4,0.063221038,5
11170,104472,54399,54955,14818,14744,244339,0.427569893,0.222637401,0.224912928,0.060645251,0.060342393,0.427569893,1,0.202656964,0.224912928,3,0.222637401,2,0.060645251,4,0.060342393,5
11180,57910,28616,32762,7596,8243,135718,0.426693585,0.210848966,0.241397604,0.055968995,0.060736232,0.426693585,1,0.185295981,0.241397604,3,0.210848966,2,0.060736232,5,0.055968995,4
11190,89975,48825,47404,15506,12699,215283,0.417938249,0.226794498,0.220193884,0.072026124,0.058987472,0.417938249,1,0.19114375,0.226794498,2,0.220193884,3,0.072026124,4,0.058987472,5
11200,102431,48954,52642,17449,14481,236792,0.432577959,0.206738403,0.222313254,0.073689145,0.061154938,0.432577959,1,0.210264705,0.222313254,3,0.206738403,2,0.073689145,4,0.061154938,5
11210,134750,54447,70154,20147,20741,301600,0.44678382,0.180527188,0.232606101,0.066800398,0.068769894,0.44678382,1,0.214177719,0.232606101,3,0.180527188,2,0.068769894,5,0.066800398,4
11220,88413,66974,55234,25307,13308,250064,0.353561488,0.267827436,0.220879455,0.101202092,0.053218376,0.353561488,1,0.085734052,0.267827436,2,0.220879455,3,0.101202092,4,0.053218376,5
11230,107960,87993,69548,31507,16599,314751,0.343001293,0.279563846,0.220961967,0.10010135,0.052736925,0.343001293,1,0.063437447,0.279563846,2,0.220961967,3,0.10010135,4,0.052736925,5
11240,153191,90218,87954,32937,21998,387595,0.395234717,0.232763581,0.226922432,0.084977876,0.056755118,0.395234717,1,0.162471136,0.232763581,2,0.226922432,3,0.084977876,4,0.056755118,5
11250,106208,60596,60294,18807,15378,262275,0.404949004,0.231039939,0.229888476,0.071707178,0.058633114,0.404949004,1,0.173909065,0.231039939,2,0.229888476,3,0.071707178,4,0.058633114,5
21010,8226,9876,4097,1571,1025,24890,0.330494174,0.396785858,0.164604259,0.063117718,0.041181197,0.396785858,2,0.066291683,0.330494174,1,0.164604259,3,0.063117718,4,0.041181197,5
21020,20672,24406,10465,4227,2575,62637,0.330028577,0.389641905,0.167073774,0.067484075,0.041109887,0.389641905,2,0.059613328,0.330028577,1,0.167073774,3,0.067484075,4,0.041109887,5
21030,16522,20706,8658,3051,2073,51246,0.322405651,0.404051048,0.168949772,0.059536354,0.040451938,0.404051048,2,0.081645397,0.322405651,1,0.168949772,3,0.059536354,4,0.040451938,5
21040,26072,23640,11708,4699,2835,69251,0.376485538,0.341366912,0.169066151,0.067854616,0.040938037,0.376485538,1,0.035118626,0.341366912,2,0.169066151,3,0.067854616,4,0.040938037,5
21050,82208,74206,36107,14558,10110,218065,0.376988513,0.340293032,0.16557907,0.066759911,0.046362323,0.376988513,1,0.036695481,0.340293032,2,0.16557907,3,0.066759911,4,0.046362323,5
21060,58182,55339,26658,11391,7301,159443,0.364907835,0.347077012,0.167194546,0.071442459,0.045790659,0.364907835,1,0.017830824,0.347077012,2,0.167194546,3,0.071442459,4,0.045790659,5
21070,59480,54932,27436,11239,7356,161089,0.369236881,0.341004041,0.170315788,0.069768886,0.045664198,0.369236881,1,0.02823284,0.341004041,2,0.170315788,3,0.069768886,4,0.045664198,5
21080,73174,57006,29182,12679,8461,181257,0.403703029,0.314503716,0.16099792,0.069950402,0.046679577,0.403703029,1,0.089199314,0.314503716,2,0.16099792,3,0.069950402,4,0.046679577,5
21090,89057,74961,43072,18192,10602,236835,0.376029725,0.316511495,0.181865012,0.076812971,0.044765343,0.376029725,1,0.05951823,0.316511495,2,0.181865012,3,0.076812971,4,0.044765343,5
21100,72222,60999,32988,12993,9035,189014,0.382098681,0.322722126,0.174526755,0.06874094,0.047800692,0.382098681,1,0.059376554,0.322722126,2,0.174526755,3,0.06874094,4,0.047800692,5
21110,51878,50655,23640,11425,6828,145039,0.357683106,0.349250891,0.162990644,0.078771917,0.047076993,0.357683106,1,0.008432215,0.349250891,2,0.162990644,3,0.078771917,4,0.047076993,5
21120,25938,16512,9196,4091,2549,58499,0.443392195,0.282261235,0.157199268,0.069932819,0.043573394,0.443392195,1,0.16113096,0.282261235,2,0.157199268,3,0.069932819,4,0.043573394,5
21130,44887,40914,20544,8495,5650,120881,0.371332137,0.338465102,0.169952267,0.070275726,0.046740182,0.371332137,1,0.032867035,0.338465102,2,0.169952267,3,0.070275726,4,0.046740182,5
21140,36948,36752,17937,7157,4904,104102,0.354921135,0.353038366,0.172302165,0.06874988,0.047107644,0.354921135,1,0.001882769,0.353038366,2,0.172302165,3,0.06874988,4,0.047107644,5
21150,54175,43609,20646,8719,6113,133802,0.404889314,0.325921885,0.154302626,0.06516345,0.045686911,0.404889314,1,0.078967429,0.325921885,2,0.154302626,3,0.06516345,4,0.045686911,5
21310,33752,23807,13979,5726,4148,81768,0.412777615,0.291153018,0.170959299,0.070027395,0.050728891,0.412777615,1,0.121624596,0.291153018,2,0.170959299,3,0.070027395,4,0.050728891,5
22010,9505,22711,6199,5066,1927,45669,0.208128052,0.497295759,0.13573759,0.110928639,0.042194924,0.497295759,2,0.289167707,0.208128052,1,0.13573759,3,0.110928639,4,0.042194924,5
22020,40005,93013,27378,31733,7971,201206,0.198826079,0.462277467,0.136069501,0.157713985,0.039616115,0.462277467,2,0.263451388,0.198826079,1,0.157713985,4,0.136069501,3,0.039616115,5
22030,18639,64665,15665,10680,4543,114872,0.162258862,0.562930914,0.136369176,0.092973048,0.039548367,0.562930914,2,0.400672052,0.162258862,1,0.136369176,3,0.092973048,4,0.039548367,5
22040,16367,46437,12063,8793,3660,87821,0.186367725,0.528768746,0.137358946,0.100124116,0.041675681,0.528768746,2,0.34240102,0.186367725,1,0.137358946,3,0.100124116,4,0.041675681,5
22050,54095,113497,37527,29913,11850,248147,0.217995785,0.457378086,0.151228909,0.120545483,0.047753952,0.457378086,2,0.239382302,0.217995785,1,0.151228909,3,0.120545483,4,0.047753952,5
22060,55205,113112,37953,33354,10433,251219,0.219748506,0.450252568,0.151075357,0.13276862,0.041529502,0.450252568,2,0.230504062,0.219748506,1,0.151075357,3,0.13276862,4,0.041529502,5
22070,71303,154269,51178,40111,16021,334798,0.212973196,0.460782322,0.152862323,0.11980657,0.047852735,0.460782322,2,0.247809127,0.212973196,1,0.152862323,3,0.11980657,4,0.047852735,5
22310,26851,54652,18664,13651,6168,120657,0.222539927,0.452953413,0.154686425,0.113138898,0.051120117,0.452953413,2,0.230413486,0.222539927,1,0.154686425,3,0.113138898,4,0.051120117,5
23010,23866,14468,13493,3533,4076,59752,0.399417593,0.242134155,0.225816709,0.059127728,0.06821529,0.399417593,1,0.157283438,0.242134155,2,0.225816709,3,0.06821529,5,0.059127728,4
23020,14556,10761,9560,2192,2902,40214,0.361963495,0.267593375,0.237728154,0.05450838,0.072163923,0.361963495,1,0.09437012,0.267593375,2,0.237728154,3,0.072163923,5,0.05450838,4
23030,83761,56388,54966,13656,15832,225694,0.371126392,0.249842707,0.243542141,0.060506704,0.070148077,0.371126392,1,0.121283685,0.249842707,2,0.243542141,3,0.070148077,5,0.060506704,4
23040,75343,38483,43087,13999,12683,184436,0.408504847,0.208652324,0.233614912,0.075901668,0.068766401,0.408504847,1,0.174889935,0.233614912,3,0.208652324,2,0.075901668,4,0.068766401,5
23050,119542,61003,69710,18808,20343,290822,0.411048683,0.20976061,0.239699885,0.064671861,0.069950004,0.411048683,1,0.171348798,0.239699885,3,0.20976061,2,0.069950004,5,0.064671861,4
23060,129246,61578,74402,19155,21600,307417,0.420425676,0.200307725,0.24202305,0.062309501,0.070262868,0.420425676,1,0.178402626,0.24202305,3,0.200307725,2,0.070262868,5,0.062309501,4
23070,78136,34312,43644,11775,13767,182553,0.428018165,0.187956374,0.239075775,0.064501816,0.075413715,0.428018165,1,0.188942389,0.239075775,3,0.187956374,2,0.075413715,5,0.064501816,4
23080,116767,51598,64928,18404,19656,272559,0.428409996,0.189309471,0.238216313,0.067522995,0.072116496,0.428409996,1,0.190193683,0.238216313,3,0.189309471,2,0.072116496,5,0.067522995,4
23310,9753,15586,8252,1788,1775,37463,0.260336866,0.416037157,0.220270667,0.047727091,0.047380082,0.416037157,2,0.155700291,0.260336866,1,0.220270667,3,0.047727091,4,0.047380082,5
23320,2741,4970,2352,608,403,11207,0.244579281,0.443472829,0.209868832,0.054251807,0.035959668,0.443472829,2,0.198893549,0.244579281,1,0.209868832,3,0.054251807,4,0.035959668,5
24010,30279,1121,20378,1068,2048,55115,0.549378572,0.020339291,0.369736007,0.019377665,0.037158668,0.549378572,1,0.179642566,0.369736007,3,0.037158668,5,0.020339291,2,0.019377665,4
24020,105732,2686,55014,3628,7460,175271,0.603248683,0.01532484,0.313879649,0.020699374,0.04256266,0.603248683,1,0.289369034,0.313879649,3,0.04256266,5,0.020699374,4,0.01532484,2
24030,71086,2153,41681,2324,4695,122502,0.580284404,0.017575223,0.340247506,0.018971119,0.038325905,0.580284404,1,0.240036897,0.340247506,3,0.038325905,5,0.018971119,4,0.017575223,2
24040,152070,3608,78668,4974,10773,251077,0.60567077,0.014370094,0.313322208,0.019810656,0.042907156,0.60567077,1,0.292348562,0.313322208,3,0.042907156,5,0.019810656,4,0.014370094,2
24050,138873,3028,58043,4408,10536,216004,0.64291865,0.014018259,0.268712616,0.020407029,0.048776875,0.64291865,1,0.374206033,0.268712616,3,0.048776875,5,0.020407029,4,0.014018259,2
25010,49392,30537,31058,6468,7889,125981,0.39205912,0.242393694,0.246529239,0.051341075,0.062620554,0.39205912,1,0.145529881,0.246529239,3,0.242393694,2,0.062620554,5,0.051341075,4
25020,53116,34957,33550,7492,8262,138058,0.38473685,0.253205175,0.243013806,0.054267047,0.059844413,0.38473685,1,0.131531675,0.253205175,2,0.243013806,3,0.059844413,5,0.054267047,4
25030,114722,54622,62471,17033,18098,267975,0.4281071,0.203832447,0.233122493,0.063561899,0.067536151,0.4281071,1,0.194984607,0.233122493,3,0.203832447,2,0.067536151,5,0.063561899,4
25040,87794,31439,40695,13548,12180,186253,0.471369589,0.168797281,0.218493125,0.072739768,0.06539492,0.471369589,1,0.252876464,0.218493125,3,0.168797281,2,0.072739768,4,0.06539492,5
25050,40946,23749,25580,5809,7066,103676,0.394941934,0.229069409,0.246730198,0.056030325,0.068154636,0.394941934,1,0.148211737,0.246730198,3,0.229069409,2,0.068154636,5,0.056030325,4
26010,49513,44517,23466,10683,10719,139602,0.354672569,0.318885116,0.168092148,0.076524692,0.076782568,0.354672569,1,0.035787453,0.318885116,2,0.168092148,3,0.076782568,5,0.076524692,4
26020,70495,58925,34631,15913,13867,194672,0.362121928,0.302688625,0.177894099,0.081742623,0.071232637,0.362121928,1,0.059433303,0.302688625,2,0.177894099,3,0.081742623,4,0.071232637,5
26030,39941,22060,17283,7244,10368,97429,0.40994981,0.226421291,0.177390715,0.074351579,0.106415954,0.40994981,1,0.183528518,0.226421291,2,0.177390715,3,0.106415954,5,0.074351579,4
26040,46033,24351,17622,8669,11387,108642,0.423712745,0.224139835,0.162202463,0.079794186,0.104812135,0.423712745,1,0.199572909,0.224139835,2,0.162202463,3,0.104812135,5,0.079794186,4
26310,41096,38512,20391,9252,7712,117693,0.349179645,0.327224219,0.173255844,0.078611302,0.065526412,0.349179645,1,0.021955426,0.327224219,2,0.173255844,3,0.078611302,4,0.065526412,5
29010,64561,20297,27374,7249,7424,127480,0.506440226,0.159217132,0.214731723,0.056863822,0.058236586,0.506440226,1,0.291708503,0.214731723,3,0.159217132,2,0.058236586,5,0.056863822,4
31011,70498,34015,38214,11837,11810,167119,0.421843118,0.203537599,0.228663408,0.070829768,0.070668206,0.421843118,1,0.19317971,0.228663408,3,0.203537599,2,0.070829768,4,0.070668206,5
31012,82012,38959,45130,13339,13253,193619,0.423574133,0.201214757,0.233086629,0.068893032,0.068448861,0.423574133,1,0.190487504,0.233086629,3,0.201214757,2,0.068893032,4,0.068448861,5
31013,41899,25294,24701,6929,6958,106307,0.394132089,0.237933532,0.232355348,0.065179151,0.065451946,0.394132089,1,0.156198557,0.237933532,2,0.232355348,3,0.065451946,5,0.065179151,4
31014,90314,29753,40871,15760,12662,189947,0.475469473,0.156638431,0.215170548,0.082970513,0.0666607,0.475469473,1,0.260298925,0.215170548,3,0.156638431,2,0.082970513,4,0.0666607,5
31021,54197,25563,32434,7854,8062,128856,0.420601291,0.198384243,0.251707332,0.06095176,0.062565965,0.420601291,1,0.168893959,0.251707332,3,0.198384243,2,0.062565965,5,0.06095176,4
31022,52919,25158,32003,7219,7953,126106,0.419639034,0.199498834,0.253778567,0.057245492,0.063065992,0.419639034,1,0.165860467,0.253778567,3,0.199498834,2,0.063065992,5,0.057245492,4
31023,121024,65211,65494,26825,17263,296843,0.407703736,0.219681785,0.220635151,0.090367635,0.058155321,0.407703736,1,0.187068585,0.220635151,3,0.219681785,2,0.090367635,4,0.058155321,5
31030,97272,52935,58748,15267,15960,241322,0.403079703,0.219354224,0.243442372,0.063264021,0.066135703,0.403079703,1,0.159637331,0.243442372,3,0.219354224,2,0.066135703,5,0.063264021,4
31041,61245,32507,34579,9597,9773,148391,0.412727187,0.219063151,0.233026262,0.064673734,0.065859789,0.412727187,1,0.179700925,0.233026262,3,0.219063151,2,0.065859789,5,0.064673734,4
31042,88461,39527,46366,15488,13263,203780,0.434100501,0.193968986,0.227529689,0.076003533,0.065084895,0.434100501,1,0.206570812,0.227529689,3,0.193968986,2,0.076003533,4,0.065084895,5
31050,212255,93288,116010,30121,32204,486005,0.43673419,0.191948643,0.238701248,0.061976729,0.066262693,0.43673419,1,0.198032942,0.238701248,3,0.191948643,2,0.066262693,5,0.061976729,4
31060,86912,36238,46986,12245,12585,195754,0.443985819,0.1851201,0.240025747,0.062553,0.064289874,0.443985819,1,0.203960072,0.240025747,3,0.1851201,2,0.064289874,5,0.062553,4
31070,91329,58061,57413,16837,17548,242563,0.376516616,0.239364619,0.236693148,0.069412895,0.072344092,0.376516616,1,0.137151998,0.239364619,2,0.236693148,3,0.072344092,5,0.069412895,4
