code,sgg,dong,x,y
11650108,서울특별시 서초구,서초동,127.016,37.488
11680106,서울특별시 강남구,대치동,127.066,37.499
11650107,서울특별시 서초구,반포동,127.002,37.505
11650101,서울특별시 서초구,방배동,126.994,37.479
11650106,서울특별시 서초구,잠원동,127.01,37.515
11710101,서울특별시 송파구,잠실동,127.085,37.512
11680103,서울특별시 강남구,개포동,127.062,37.482
11680118,서울특별시 강남구,도곡동,127.044,37.488
11170129,서울특별시 용산구,이촌동,126.966,37.519
11680101,서울특별시 강남구,역삼동,127.039,37.499
11680105,서울특별시 강남구,삼성동,127.055,37.515
11560110,서울특별시 영등포구,여의도동,126.929,37.528
11680110,서울특별시 강남구,압구정동,127.023,37.529
11470102,서울특별시 양천구,목동,126.876,37.537
11620102,서울특별시 관악구,신림동,126.935,37.463
11710108,서울특별시 송파구,문정동,127.122,37.485
11620101,서울특별시 관악구,봉천동,126.957,37.475
11680104,서울특별시 강남구,청담동,127.052,37.526
11710111,서울특별시 송파구,방이동,127.127,37.516
11140162,서울특별시 중구,신당동,127.013,37.557
11710102,서울특별시 송파구,신천동,127.095,37.525
11590107,서울특별시 동작구,사당동,126.972,37.485
41135103,경기도 성남시 분당구,정자동,127.113,37.367
30170112,대전광역시 서구,둔산동,127.389,36.355
11590102,서울특별시 동작구,상도동,126.94,37.5
36110106,세종특별자치시,한솔동,127.253,36.477
36110110,세종특별자치시,어진동,127.264,36.501
11215105,서울특별시 광진구,자양동,127.075,37.532
11470101,서울특별시 양천구,신정동,126.863,37.516
41173102,경기도 안양시 동안구,관양동,126.964,37.41
36110111,세종특별자치시,종촌동,127.247,36.504
11680108,서울특별시 강남구,논현동,127.031,37.514
11410117,서울특별시 서대문구,연희동,126.933,37.573
11710107,서울특별시 송파구,가락동,127.119,37.494
41290109,경기도 과천시,별양동,126.996,37.428
11680114,서울특별시 강남구,일원동,127.083,37.488
11215103,서울특별시 광진구,구의동,127.087,37.544
11560115,서울특별시 영등포구,당산동5가,126.901,37.532
41135114,경기도 성남시 분당구,구미동,127.12,37.344
26350105,부산광역시 해운대구,우동,129.147,35.176
11200107,서울특별시 성동구,행당동,127.035,37.559
41281128,경기도 고양시 덕양구,행신동,126.841,37.621
11215104,서울특별시 광진구,광장동,127.105,37.548
41135107,경기도 성남시 분당구,야탑동,127.149,37.406
41590127,경기도 화성시,반송동,127.073,37.198
11350106,서울특별시 노원구,중계동,127.081,37.651
41173104,경기도 안양시 동안구,호계동,126.957,37.377
36110114,세종특별자치시,도담동,127.26,36.516
11200113,서울특별시 성동구,옥수동,127.015,37.542
11710109,서울특별시 송파구,장지동,127.137,37.478
11650102,서울특별시 서초구,양재동,127.039,37.469
41135102,경기도 성남시 분당구,수내동,127.121,37.374
41135106,경기도 성남시 분당구,이매동,127.134,37.396
28185106,인천광역시 연수구,송도동,126.651,37.384
41285105,경기도 고양시 일산동구,마두동,126.784,37.659
11440102,서울특별시 마포구,공덕동,126.953,37.547
30170113,대전광역시 서구,월평동,127.356,36.346
11410111,서울특별시 서대문구,홍제동,126.947,37.587
11350105,서울특별시 노원구,상계동,127.072,37.666
11440104,서울특별시 마포구,도화동,126.95,37.54
11560132,서울특별시 영등포구,신길동,126.911,37.506
11440127,서울특별시 마포구,상암동,126.873,37.572
11710112,서울특별시 송파구,오금동,127.134,37.504
26290107,부산광역시 남구,용호동,129.116,35.115
41285106,경기도 고양시 일산동구,백석동,126.788,37.643
50110137,제주특별자치도 제주시,연동,126.494,33.454
29155115,광주광역시 남구,봉선동,126.914,35.124
27260101,대구광역시 수성구,범어동,128.633,35.857
41287102,경기도 고양시 일산서구,주엽동,126.763,37.672
41410104,경기도 군포시,산본동,126.919,37.36
11170130,서울특별시 용산구,이태원동,126.991,37.539
11170133,서울특별시 용산구,서빙고동,126.991,37.519
11260101,서울특별시 중랑구,면목동,127.09,37.582
11740107,서울특별시 강동구,암사동,127.13,37.558
41117103,경기도 수원시 영통구,이의동,127.047,37.301
11740101,서울특별시 강동구,명일동,127.15,37.548
11440101,서울특별시 마포구,아현동,126.956,37.554
11200115,서울특별시 성동구,성수동2가,127.057,37.54
41115138,경기도 수원시 팔달구,화서동,126.998,37.282
28170106,인천광역시 남구,주안동,126.685,37.458
36110113,세종특별자치시,아름동,127.247,36.518
11170131,서울특별시 용산구,한남동,127.006,37.537
26230102,부산광역시 부산진구,전포동,129.072,35.159
41171101,경기도 안양시 만안구,안양동,126.92,37.391
11680115,서울특별시 강남구,수서동,127.098,37.486
41173101,경기도 안양시 동안구,비산동,126.949,37.415
41190109,경기도 부천시,상동,126.75,37.502
41281123,경기도 고양시 덕양구,화정동,126.835,37.637
11590108,서울특별시 동작구,대방동,126.929,37.507
28260104,인천광역시 서구,경서동,126.624,37.543
41465102,경기도 용인시 수지구,죽전동,127.123,37.329
11500104,서울특별시 강서구,가양동,126.85,37.568
26290106,부산광역시 남구,대연동,129.091,35.14
11230110,서울특별시 동대문구,이문동,127.062,37.599
11500102,서울특별시 강서구,등촌동,126.862,37.552
11290133,서울특별시 성북구,정릉동,126.997,37.617
50110253,제주특별자치도 제주시,애월읍,126.376,33.416
31140106,울산광역시 남구,삼산동,129.349,35.542
26350107,부산광역시 해운대구,좌동,129.175,35.184
41285101,경기도 고양시 일산동구,식사동,126.813,37.677
11710104,서울특별시 송파구,송파동,127.116,37.505
41135110,경기도 성남시 분당구,백현동,127.109,37.385
11170124,서울특별시 용산구,한강로1가,126.974,37.536
11320107,서울특별시 도봉구,창동,127.045,37.646
11500109,서울특별시 강서구,방화동,126.813,37.577
41173103,경기도 안양시 동안구,평촌동,126.966,37.387
41135101,경기도 성남시 분당구,분당동,127.147,37.37
41465103,경기도 용인시 수지구,동천동,127.08,37.341
11545103,서울특별시 금천구,시흥동,126.912,37.45
41135105,경기도 성남시 분당구,서현동,127.134,37.381
11290103,서울특별시 성북구,돈암동,127.009,37.597
11500103,서울특별시 강서구,화곡동,126.844,37.542
41465107,경기도 용인시 수지구,상현동,127.077,37.304
41210103,경기도 광명시,하안동,126.872,37.458
27200102,대구광역시 남구,봉덕동,128.599,35.829
27290116,대구광역시 달서구,도원동,128.555,35.791
11740109,서울특별시 강동구,천호동,127.126,37.543
36110250,세종특별자치시,조치원읍,127.284,36.607
11350103,서울특별시 노원구,공릉동,127.087,37.63
11440114,서울특별시 마포구,창전동,126.93,37.55
41287104,경기도 고양시 일산서구,대화동,126.74,37.669
11530102,서울특별시 구로구,구로동,126.881,37.497
11290135,서울특별시 성북구,종암동,127.033,37.597
11260104,서울특별시 중랑구,묵동,127.078,37.612
11305101,서울특별시 강북구,미아동,127.021,37.622
11650103,서울특별시 서초구,우면동,127.017,37.466
11740106,서울특별시 강동구,둔촌동,127.145,37.529
41590117,경기도 화성시,병점동,127.042,37.208
50110122,제주특별자치도 제주시,노형동,126.488,33.436
11110118,서울특별시 종로구,내수동,126.972,37.573
11110115,서울특별시 종로구,사직동,126.966,37.575
41135109,경기도 성남시 분당구,삼평동,127.108,37.402
27710250,대구광역시 달성군,화원읍,128.503,35.792
11500105,서울특별시 강서구,마곡동,126.83,37.57
27290115,대구광역시 달서구,상인동,128.554,35.815
11380114,서울특별시 은평구,진관동,126.936,37.643
11590105,서울특별시 동작구,흑석동,126.963,37.505
41430107,경기도 의왕시,내손동,126.985,37.378
11680112,서울특별시 강남구,자곡동,127.102,37.477
11530101,서울특별시 구로구,신도림동,126.884,37.511
41610250,경기도 광주시,오포읍,127.216,37.365
26410108,부산광역시 금정구,장전동,129.075,35.236
11440120,서울특별시 마포구,서교동,126.92,37.554
28200110,인천광역시 남동구,논현동,126.726,37.401
26410107,부산광역시 금정구,구서동,129.085,35.253
41570104,경기도 김포시,장기동,126.671,37.647
11305103,서울특별시 강북구,수유동,127.005,37.637
41410105,경기도 군포시,금정동,126.941,37.362
41273101,경기도 안산시 단원구,고잔동,126.831,37.32
41117101,경기도 수원시 영통구,매탄동,127.05,37.262
36110108,세종특별자치시,새롬동,127.25,36.484
29140128,광주광역시 서구,풍암동,126.875,35.124
42110123,강원도 춘천시,퇴계동,127.729,37.855
11680107,서울특별시 강남구,신사동,127.029,37.523
26350103,부산광역시 해운대구,반여동,129.133,35.204
11170127,서울특별시 용산구,용산동5가,126.975,37.526
26470101,부산광역시 연제구,거제동,129.064,35.187
11110183,서울특별시 종로구,평창동,126.975,37.614
29140120,광주광역시 서구,치평동,126.841,35.152
11560121,서울특별시 영등포구,문래동3가,126.895,37.517
11440103,서울특별시 마포구,신공덕동,126.956,37.544
41430109,경기도 의왕시,포일동,126.99,37.395
41135115,경기도 성남시 분당구,운중동,127.062,37.392
41290110,경기도 과천시,부림동,126.999,37.435
11440109,서울특별시 마포구,염리동,126.947,37.549
43112104,충청북도 청주시 서원구,산남동,127.467,36.613
41463118,경기도 용인시 기흥구,보정동,127.109,37.308
11740103,서울특별시 강동구,상일동,127.17,37.551
41465106,경기도 용인시 수지구,성복동,127.059,37.32
11200114,서울특별시 성동구,성수동1가,127.042,37.543
41285107,경기도 고양시 일산동구,풍동,126.796,37.669
41131108,경기도 성남시 수정구,창곡동,127.15,37.466
30200119,대전광역시 유성구,노은동,127.319,36.369
11380103,서울특별시 은평구,불광동,126.935,37.619
11590101,서울특별시 동작구,노량진동,126.942,37.511
11500101,서울특별시 강서구,염창동,126.872,37.556
11260106,서울특별시 중랑구,신내동,127.093,37.61
41117105,경기도 수원시 영통구,영통동,127.074,37.257
11215101,서울특별시 광진구,중곡동,127.088,37.563
26410109,부산광역시 금정구,부곡동,129.096,35.232
42210106,강원도 속초시,교동,128.573,38.202
29170109,광주광역시 북구,운암동,126.877,35.18
27140101,대구광역시 동구,신암동,128.624,35.884
26170104,부산광역시 동구,범일동,129.061,35.135
11320106,서울특별시 도봉구,방학동,127.033,37.665
27200103,대구광역시 남구,대명동,128.572,35.836
27260113,대구광역시 수성구,범물동,128.655,35.81
44133107,충청남도 천안시 서북구,쌍용동,127.123,36.801
29155108,광주광역시 남구,진월동,126.902,35.116
47170136,경상북도 안동시,송현동,128.701,36.577
28260112,인천광역시 서구,가좌동,126.676,37.488
11230108,서울특별시 동대문구,회기동,127.051,37.595
42760380,강원도 평창군,대관령면,128.684,37.685
11170128,서울특별시 용산구,한강로3가,126.96,37.528
31710259,울산광역시 울주군,범서읍,129.246,35.597
11380107,서울특별시 은평구,응암동,126.921,37.593
48330253,경상남도 양산시,물금읍,128.995,35.314
26350106,부산광역시 해운대구,중동,129.188,35.164
11560133,서울특별시 영등포구,대림동,126.901,37.497
11740102,서울특별시 강동구,고덕동,127.156,37.566
11410118,서울특별시 서대문구,홍은동,126.938,37.593
41210102,경기도 광명시,철산동,126.868,37.481
26500103,부산광역시 수영구,민락동,129.126,35.16
41390132,경기도 시흥시,정왕동,126.728,37.35
11110171,서울특별시 종로구,명륜2가,126.999,37.585
41131101,경기도 성남시 수정구,신흥동,127.149,37.447
45113103,전라북도 전주시 덕진구,인후동1가,127.158,35.831
11110101,서울특별시 종로구,청운동,126.97,37.589
11200112,서울특별시 성동구,금호동4가,127.025,37.545
46110158,전라남도 목포시,상동,126.417,34.81
48880250,경상남도 거창군,거창읍,127.908,35.692
41190108,경기도 부천시,중동,126.77,37.5
11110182,서울특별시 종로구,구기동,126.957,37.618
41310103,경기도 구리시,인창동,127.131,37.614
41210101,경기도 광명시,광명동,126.853,37.474
27260102,대구광역시 수성구,만촌동,128.649,35.86
11710103,서울특별시 송파구,풍납동,127.115,37.533
11410119,서울특별시 서대문구,북가좌동,126.91,37.579
30200111,대전광역시 유성구,봉명동,127.343,36.353
43113250,충청북도 청주시 흥덕구,오송읍,127.322,36.626
11410116,서울특별시 서대문구,창천동,126.934,37.559
29170114,광주광역시 북구,두암동,126.934,35.17
26260108,부산광역시 동래구,온천동,129.066,35.213
28260106,인천광역시 서구,연희동,126.658,37.541
43114253,충청북도 청주시 청원구,오창읍,127.41,36.732
36110107,세종특별자치시,나성동,127.264,36.487
28237103,인천광역시 부평구,산곡동,126.703,37.5
28237101,인천광역시 부평구,부평동,126.721,37.489
26500105,부산광역시 수영구,남천동,129.11,35.144
11350102,서울특별시 노원구,월계동,127.054,37.63
27260112,대구광역시 수성구,지산동,128.635,35.824
30200139,대전광역시 유성구,반석동,127.299,36.394
41360256,경기도 남양주시,화도읍,127.32,37.653
36110112,세종특별자치시,고운동,127.234,36.517
43112101,충청북도 청주시 서원구,사직동,127.477,36.637
28245103,인천광역시 계양구,작전동,126.731,37.53
45113121,전라북도 전주시 덕진구,송천동1가,127.126,35.859
30200123,대전광역시 유성구,어은동,127.354,36.371
11410112,서울특별시 서대문구,대현동,126.948,37.561
11230107,서울특별시 동대문구,청량리동,127.046,37.588
28200103,인천광역시 남동구,만수동,126.734,37.453
46110164,전라남도 목포시,옥암동,126.443,34.806
43112106,충청북도 청주시 서원구,분평동,127.49,36.607
41150104,경기도 의정부시,신곡동,127.064,37.738
41285104,경기도 고양시 일산동구,장항동,126.757,37.648
41360102,경기도 남양주시,평내동,127.234,37.647
26710250,부산광역시 기장군,기장읍,129.209,35.225
46840256,전라남도 무안군,삼향읍,126.455,34.841
50130105,제주특별자치도 서귀포시,동홍동,126.548,33.303
43730250,충청북도 옥천군,옥천읍,127.577,36.304
41190110,경기도 부천시,소사본동,126.795,37.473
42720250,강원도 홍천군,홍천읍,127.85,37.671
44825250,충청남도 태안군,태안읍,126.308,36.74
44150120,충청남도 공주시,신관동,127.135,36.47
41285102,경기도 고양시 일산동구,중산동,126.786,37.686
43111124,충청북도 청주시 상당구,용암동,127.527,36.62
28237104,인천광역시 부평구,청천동,126.712,37.514
29140119,광주광역시 서구,화정동,126.879,35.147
11230104,서울특별시 동대문구,전농동,127.057,37.58
41650250,경기도 포천시,소흘읍,127.152,37.794
11305102,서울특별시 강북구,번동,127.038,37.629
11380106,서울특별시 은평구,대조동,126.923,37.613
11740108,서울특별시 강동구,성내동,127.129,37.53
41113137,경기도 수원시 권선구,권선동,127.03,37.249
48250107,경상남도 김해시,삼계동,128.865,35.273
26230101,부산광역시 부산진구,양정동,129.071,35.172
43770330,충청북도 음성군,맹동면,127.554,36.917
42130110,강원도 원주시,단계동,127.927,37.35
26350104,부산광역시 해운대구,재송동,129.128,35.184
28140107,인천광역시 동구,송림동,126.648,37.479
28237102,인천광역시 부평구,십정동,126.699,37.477
11650111,서울특별시 서초구,신원동,127.064,37.445
41360110,경기도 남양주시,도농동,127.155,37.609
44133250,충청남도 천안시 서북구,성환읍,127.124,36.931
11200111,서울특별시 성동구,금호동3가,127.019,37.55
11170136,서울특별시 용산구,보광동,127,37.527
41430105,경기도 의왕시,오전동,126.983,37.361
31140105,울산광역시 남구,달동,129.325,35.539
41590253,경기도 화성시,봉담읍,126.926,37.194
11230105,서울특별시 동대문구,답십리동,127.056,37.57
41360101,경기도 남양주시,호평동,127.243,37.661
27260107,대구광역시 수성구,황금동,128.631,35.841
26470102,부산광역시 연제구,연산동,129.087,35.176
29140118,광주광역시 서구,쌍촌동,126.863,35.155
50110118,제주특별자치도 제주시,아라이동,126.556,33.477
11260103,서울특별시 중랑구,중화동,127.079,37.6
26500101,부산광역시 수영구,망미동,129.109,35.174
31140108,울산광역시 남구,야음동,129.329,35.524
11110174,서울특별시 종로구,창신동,127.012,37.576
30200127,대전광역시 유성구,도룡동,127.382,36.382
27170103,대구광역시 서구,평리동,128.557,35.873
11440108,서울특별시 마포구,대흥동,126.943,37.55
43113114,충청북도 청주시 흥덕구,복대동,127.44,36.635
11200102,서울특별시 성동구,하왕십리동,127.028,37.564
28185105,인천광역시 연수구,동춘동,126.667,37.405
26260102,부산광역시 동래구,안락동,129.106,35.194
30170110,대전광역시 서구,내동,127.378,36.334
11230103,서울특별시 동대문구,제기동,127.037,37.585
11380102,서울특별시 은평구,녹번동,126.932,37.604
11440122,서울특별시 마포구,합정동,126.91,37.548
50130116,제주특별자치도 서귀포시,강정동,126.493,33.254
11170125,서울특별시 용산구,한강로2가,126.97,37.531
41111130,경기도 수원시 장안구,정자동,126.991,37.3
11110175,서울특별시 종로구,숭인동,127.019,37.577
26140106,부산광역시 서구,서대신동3가,129.011,35.126
26380103,부산광역시 사하구,하단동,128.954,35.112
48170126,경상남도 진주시,평거동,128.057,35.171
26230111,부산광역시 부산진구,개금동,129.021,35.151
41250103,경기도 동두천시,생연동,127.063,37.904
11560109,서울특별시 영등포구,영등포동8가,126.905,37.529
47113121,경상북도 포항시 북구,장성동,129.379,36.076
27290114,대구광역시 달서구,본리동,128.538,35.84
41463111,경기도 용인시 기흥구,영덕동,127.082,37.272
41220112,경기도 평택시,신장동,127.051,37.084
31140104,울산광역시 남구,신정동,129.305,35.535
42150110,강원도 강릉시,교동,128.888,37.77
41271103,경기도 안산시 상록구,사동,126.839,37.292
11590103,서울특별시 동작구,상도1동,126.95,37.503
30230101,대전광역시 대덕구,오정동,127.416,36.352
29155106,광주광역시 남구,주월동,126.898,35.132
27290124,대구광역시 달서구,본동,128.54,35.832
30140114,대전광역시 중구,태평동,127.395,36.325
41271104,경기도 안산시 상록구,본오동,126.866,37.287
30170128,대전광역시 서구,만년동,127.383,36.368
48123130,경상남도 창원시 성산구,사파동,128.699,35.223
26380106,부산광역시 사하구,다대동,128.966,35.053
45130141,전라북도 군산시,수송동,126.714,35.964
48123126,경상남도 창원시 성산구,반림동,128.668,35.238
48270104,경상남도 밀양시,삼문동,128.752,35.483
30170116,대전광역시 서구,관저동,127.335,36.296
44133103,충청남도 천안시 서북구,백석동,127.114,36.827
43111120,충청북도 청주시 상당구,금천동,127.507,36.627
29110122,광주광역시 동구,학동,126.931,35.136
11350104,서울특별시 노원구,하계동,127.074,37.638
44230109,충청남도 논산시,내동,127.103,36.182
50110102,제주특별자치도 제주시,일도이동,126.539,33.506
41390102,경기도 시흥시,신천동,126.779,37.439
46230250,전라남도 광양시,광양읍,127.6,34.945
11710113,서울특별시 송파구,거여동,127.147,37.491
11170111,서울특별시 용산구,청파동3가,126.968,37.543
41463102,경기도 용인시 기흥구,구갈동,127.122,37.277
41220110,경기도 평택시,지산동,127.079,37.076
41273107,경기도 안산시 단원구,초지동,126.812,37.312
29170112,광주광역시 북구,문흥동,126.925,35.188
30200120,대전광역시 유성구,지족동,127.31,36.381
42110124,강원도 춘천시,석사동,127.745,37.857
41117102,경기도 수원시 영통구,원천동,127.061,37.272
36110109,세종특별자치시,다정동,127.247,36.494
27230111,대구광역시 북구,산격동,128.605,35.9
26140124,부산광역시 서구,암남동,129.014,35.07
47210105,경상북도 영주시,가흥동,128.601,36.822
47920250,경상북도 봉화군,봉화읍,128.703,36.889
43111117,충청북도 청주시 상당구,탑동,127.498,36.629
50130250,제주특별자치도 서귀포시,대정읍,126.246,33.249
46890250,전라남도 완도군,완도읍,126.708,34.333
48170119,경상남도 진주시,상대동,128.108,35.185
45113107,전라북도 전주시 덕진구,금암동,127.137,35.842
36110360,세종특별자치시,연서면,127.239,36.583
29170106,광주광역시 북구,신안동,126.899,35.168
47930250,경상북도 울진군,울진읍,129.356,37.001
46150114,전라남도 순천시,연향동,127.521,34.94
45710253,전라북도 완주군,봉동읍,127.142,35.95
50110256,제주특별자치도 제주시,구좌읍,126.821,33.493
45190116,전라북도 남원시,도통동,127.396,35.417
11290125,서울특별시 성북구,안암동5가,127.03,37.588
48820250,경상남도 고성군,고성읍,128.297,34.977
46800250,전라남도 장흥군,장흥읍,126.901,34.672
46770320,전라남도 고흥군,도덕면,127.177,34.584
27230124,대구광역시 북구,동천동,128.56,35.939
11110168,서울특별시 종로구,동숭동,127.005,37.582
41111136,경기도 수원시 장안구,조원동,127.014,37.305
26320104,부산광역시 북구,덕천동,129.018,35.218
41590259,경기도 화성시,향남읍,126.921,37.109
48220111,경상남도 통영시,무전동,128.429,34.861
41310105,경기도 구리시,수택동,127.162,37.593
46230106,전라남도 광양시,중동,127.695,34.931
41281103,경기도 고양시 덕양구,신원동,126.877,37.672
50110104,제주특별자치도 제주시,이도이동,126.541,33.496
41115141,경기도 수원시 팔달구,인계동,127.026,37.267
46130310,전라남도 여수시,소라면,127.605,34.787
26410104,부산광역시 금정구,남산동,129.079,35.267
27290110,대구광역시 달서구,장기동,128.525,35.846
