code,sgg,dong,x,y
11650108,서울특별시 서초구,서초동,127.016,37.488
11680106,서울특별시 강남구,대치동,127.066,37.499
11650107,서울특별시 서초구,반포동,127.002,37.505
11650101,서울특별시 서초구,방배동,126.994,37.479
11650106,서울특별시 서초구,잠원동,127.01,37.515
11710101,서울특별시 송파구,잠실동,127.085,37.512
11680103,서울특별시 강남구,개포동,127.062,37.482
11680118,서울특별시 강남구,도곡동,127.044,37.488
11170129,서울특별시 용산구,이촌동,126.966,37.519
11680101,서울특별시 강남구,역삼동,127.039,37.499
11680105,서울특별시 강남구,삼성동,127.055,37.515
11560110,서울특별시 영등포구,여의도동,126.929,37.528
11680110,서울특별시 강남구,압구정동,127.023,37.529
11470102,서울특별시 양천구,목동,126.876,37.537
11620102,서울특별시 관악구,신림동,126.935,37.463
11710108,서울특별시 송파구,문정동,127.122,37.485
11620101,서울특별시 관악구,봉천동,126.957,37.475
11680104,서울특별시 강남구,청담동,127.052,37.526
11710111,서울특별시 송파구,방이동,127.127,37.516
11140162,서울특별시 중구,신당동,127.013,37.557
11710102,서울특별시 송파구,신천동,127.095,37.525
11590107,서울특별시 동작구,사당동,126.972,37.485
41135103,경기도 성남시 분당구,정자동,127.113,37.367
30170112,대전광역시 서구,둔산동,127.389,36.355
11590102,서울특별시 동작구,상도동,126.94,37.5
36110106,세종특별자치시,한솔동,127.253,36.477
36110110,세종특별자치시,어진동,127.264,36.501
11215105,서울특별시 광진구,자양동,127.075,37.532
11470101,서울특별시 양천구,신정동,126.863,37.516
41173102,경기도 안양시 동안구,관양동,126.964,37.41
36110111,세종특별자치시,종촌동,127.247,36.504
11680108,서울특별시 강남구,논현동,127.031,37.514
11410117,서울특별시 서대문구,연희동,126.933,37.573
11710107,서울특별시 송파구,가락동,127.119,37.494
41290109,경기도 과천시,별양동,126.996,37.428
11680114,서울특별시 강남구,일원동,127.083,37.488
11215103,서울특별시 광진구,구의동,127.087,37.544
11560115,서울특별시 영등포구,당산동5가,126.901,37.532
41135114,경기도 성남시 분당구,구미동,127.12,37.344
26350105,부산광역시 해운대구,우동,129.147,35.176
11200107,서울특별시 성동구,행당동,127.035,37.559
41281128,경기도 고양시 덕양구,행신동,126.841,37.621
11215104,서울특별시 광진구,광장동,127.105,37.548
41135107,경기도 성남시 분당구,야탑동,127.149,37.406
41590127,경기도 화성시,반송동,127.073,37.198
11350106,서울특별시 노원구,중계동,127.081,37.651
41173104,경기도 안양시 동안구,호계동,126.957,37.377
36110114,세종특별자치시,도담동,127.26,36.516
11200113,서울특별시 성동구,옥수동,127.015,37.542
11710109,서울특별시 송파구,장지동,127.137,37.478
