name,sum
국회|국회의원|김병관,167885638
국회|국회의원|김세연,155885326
국회|국회의원|안철수,119553224
국회|국회의원|박덕흠,50762726
국회|국회의원|박정,22992983
국회|국회의원|성일종,21523444
교육부서울대학교치과병원|병원장|허성주,20762055
국회|국회의원|최교일,20132673
인천광역시중구|구청장|김홍섭,19451833
미래창조과학부한국기계연구원|원장|임용택,17953663
국회|국회의원|윤상현,16791664
미래창조과학부한국원자력의학원|원장|최창운,16616684
서울고등법원|부장판사|최상열,15818964
서울고등법원|부장판사|김동오,15714982
부산광역시의회|의장|백종헌,15271602
서울특별시의회|의원|이종필,14917315
대전고등법원|부장판사|윤승은,14245564
국회|국회의원|김무성,14161863
국회|국회의원|강석호,13904477
대구광역시의회|의원|조성제,13669240
서울특별시의회|의원|성중기,13056023
경기도의회|의원|이현호,12937418
서울특별시의회|의원|이복근,12921017
서울고등법원|부장판사|김용대,12880214
서울고등법원|부장판사|조경란,12870065
대통령비서실|국정과제비서관|이련주,10119496
금융위원회|상임위원|김학균,9768921
수원지방법원성남지원|원로법관|심상철,9574925
경상북도의회|의원|김수문,9209558
보건복지부질병관리본부|본부장|정기석,9067187
경상북도|경제부지사|정병윤,8872381
국회|국회의원|김종인,8653887
부산광역시의회|의원|김병환,8582374
국회|국회의원|김삼화,8571886
국회|국회의원|이은재,8471154
부산광역시의회|의원|박재본,8192818
경상북도의회|의원|박영서,8070399
서울특별시종로구|구청장|김영종,7792876
전라남도의회|의장|임명규,7717217
국회|국회의원|장병완,7604065
경기도의회|의원|공영애,7563448
국회|국회의원|홍문종,7528949
한국은행금융통화위원회|위원|함준호,7380931
전라북도고창군|군수|박우정,7357954
전라북도의회|의원|장명식,7275095
울산광역시|시장|김기현,7153274
대전광역시의회|의원|박희진,7086385
전라남도의회|의원|정연선,6981505
한국은행금융통화위원회|위원|신인석,6971316
산업통상자원부한국석유공사|상임감사위원|변윤성,6950228
충청남도의회|의원|신재원,6904581
국회|국회의원|김종석,6825510
미래창조과학부기초과학연구원|원장|김두철,6765863
국회|국회의원|정우택,6746530
부산고등법원|부장판사|권순형,6730914
전라남도의회|의원|명현관,6643570
충청북도의회|의원|최병윤,6616383
전라북도의회|의원|최훈열,6596532
국회|국회의원|이혜훈,6596218
충청남도의회|의원|김동욱,6594745
국토교통부교통안전공단|이사장|오영태,6569381
국민안전처|특수재난실장|김경수,6511810
경상남도양산시|시장|나동연,6503919
서울고등법원|부장판사|김우진,6482421
공정거래위원회한국소비자원|원장|한견표,6474837
서울고등법원|부장판사|김문석,6395762
외교부|국무총리외교보좌관|장호진,6332396
서울특별시의회|의원|김동승,6231942
국회|국회의원|여상규,6195798
국회|국회의원|김광림,6181890
