station,x,y
가능,959857,1972183.4
가락시장,966234.3,1943848.3
가산디지털단지,945391.8,1942622.9
가양,942968.8,1951553.8
가재울,927844.3,1943074.1
가정,927133.3,1947592.9
가정중앙시장,927253.3,1946751.8
가좌,948305.1,1952333.6
가천대,966981.4,1938893.3
가평,1000973.2,1979443.5
간석,928709.5,1940920.7
간석오거리,929989.6,1941153.8
갈매,966023.9,1959514.5
갈산,931215.7,1946668.5
강남,958244,1944405.9
강남구청,959454.2,1946529.1
강남대,966848.1,1919093
강동,967549.9,1948557.7
강동구청,966520.4,1948135.9
강매,942206.8,1957202.4
강변,964196.3,1948479.5
강촌,1011808.7,1978479.6
개롱,967753.7,1944344.1
개봉,943342,1944088
개포동,961633.9,1943412.6
개화,937878.5,1953441
개화산,938763,1952790.9
거여,968408.9,1943903.7
건대입구,961939.5,1949092.6
검단사거리,925528.8,1956135.2
검단오류,923007.5,1955418.7
검바위,927361.1,1951644.3
검암,927015.6,1952484.1
경기광주,978156.7,1933347.7
경기도청북부청사,962249.7,1972429.4
경마공원,956469.8,1938424.4
경복궁,953427.1,1953086.8
경인교대입구,931321.5,1949066.2
경전철의정부,959761.6,1970972.2
경찰병원,966797.4,1944132.9
계산,931793.6,1949610.3
계양,932569.3,1952733.5
고덕,969510.4,1950703.4
고려대,959036.3,1954643.4
고속터미널,956273.2,1945118.4
고잔,940014.6,1924419.7
고진,974656.7,1916243.3
곡산,938383.2,1960975.9
곤제,963338.3,1972409.4
곤지암,986373.9,1927959.2
공덕,951544.9,1949628.7
공릉,962321.1,1958532.9
공항시장,939118.7,1951819.5
공항화물청사,909568.7,1940474
과천,955443.4,1937180.7
관악,947714.9,1935684
광교,959636.6,1922654
광교중앙,960259.5,1921149.7
광나루,965019.5,1949610.4
광명,945579.4,1935483.8
광명사거리,942896.9,1942448.1
광운대,961303.3,1958364.4
광화문,953847.4,1952534.5
광흥창,949767.5,1949950.3
교대,957033.8,1943938.9
구로,945341,1944973.1
구로디지털단지,947031.3,1943091.9
구룡,961074.9,1943146.8
구리,968516.5,1956042
구반포,954725,1944816.3
구산,948578.1,1957085.8
구성,965063,1922298.8
구의,963436.2,1948721.7
구일,944272.1,1944276.3
구파발,948715.1,1959820.9
국수,991126.1,1946333.2
국제업무지구,923064.6,1933712
국회의사당,948558.9,1947807.8
군자,962868.3,1950932.1
군포,951161.4,1928434
굴봉산,1005097.9,1981376.1
굴포천,932042.8,1945598.7
굽은다리,968437.2,1949591.8
귤현,933113.1,1952180.5
금곡,974181.4,1959802.3
금릉,935291.8,1972658.2
금정,950719.8,1930496.8
금천구청,946388.6,1939741
금촌,936077.8,1974291.6
금호,957237.2,1949973.3
기흥,965953.8,1919716
길동,968204.5,1948816.6
길음,958041.4,1956043.4
김량장,973283.3,1915433.3
김유정,1018892.2,1979909
김포공항,938296.6,1951687.6
까치산,942272.6,1948271.3
까치울,939026.1,1945458.7
낙성대,952561.5,1942114.2
남구로,945802,1943119.8
남동구청,932475.4,1939050.4
남동인더스파크,928743.6,1934625
남부터미널,957218.9,1942993.4
남성,953233.8,1942939.3
남영,953275,1949234.4
남춘천,1019688.2,1984939.8
남태령,954828.4,1940655.3
남한산성입구,969901.4,1939181.9
내방,955177.1,1943260.8
노들,951596.3,1946057.6
노량진,950618,1946198.1
노원,961456.7,1961953.1
녹번,950190.5,1955834.8
녹사평,954751.6,1948491.1
녹양,959682.6,1973352.4
녹천,960425,1960658.7
논현,957688.4,1945862.2
능곡,940082.7,1957892
단대오거리,969631.4,1938492.5
달월,933206.4,1931502.6
답십리,960498.4,1952030.2
당고개,962884.2,1963527.6
당산,947228.4,1948566.7
당정,951138.2,1927385
대곡,939264.4,1959347.8
대공원,956366.4,1937542.8
대림,946497.8,1944003.2
대모산입구,962230.9,1943656.8
대방,949360.7,1946133.4
대성리,989389.9,1964922.5
대야미,948374.6,1925653.4
대청,962831.9,1943902.3
대치,961390.5,1944005.8
